time,x,y,z,vx,vy,vz
7.1,9.99917e+08,9.99988e+08,0,-13332.5,-3332.58,0
7.1,-9.99988e+08,9.99917e+08,0,3332.58,-13332.5,0
7.1,106500,1.99999e+09,0,14999.9,-2356.35,0
7.2,9.99916e+08,9.99988e+08,0,-13379.4,-3379.52,0
7.2,-9.99988e+08,9.99916e+08,0,3379.52,-13379.4,0
7.2,108000,1.99999e+09,0,14999.9,-2389.54,0
7.3,9.99914e+08,9.99987e+08,0,-13426.3,-3426.46,0
7.3,-9.99987e+08,9.99914e+08,0,3426.46,-13426.3,0
7.3,109500,1.99999e+09,0,14999.9,-2422.73,0
7.4,9.99913e+08,9.99987e+08,0,-13473.3,-3473.4,0
7.4,-9.99987e+08,9.99913e+08,0,3473.4,-13473.3,0
7.4,111000,1.99999e+09,0,14999.9,-2455.92,0
7.5,9.99912e+08,9.99987e+08,0,-13520.2,-3520.34,0
7.5,-9.99987e+08,9.99912e+08,0,3520.34,-13520.2,0
7.5,112500,1.99999e+09,0,14999.9,-2489.1,0
7.6,9.9991e+08,9.99986e+08,0,-13567.1,-3567.28,0
7.6,-9.99986e+08,9.9991e+08,0,3567.28,-13567.1,0
7.6,114000,1.99999e+09,0,14999.9,-2522.29,0
7.7,9.99909e+08,9.99986e+08,0,-13614.1,-3614.22,0
7.7,-9.99986e+08,9.99909e+08,0,3614.22,-13614.1,0
7.7,115500,1.99999e+09,0,14999.9,-2555.48,0
7.8,9.99908e+08,9.99986e+08,0,-13661,-3661.17,0
7.8,-9.99986e+08,9.99908e+08,0,3661.17,-13661,0
7.8,117000,1.99999e+09,0,14999.9,-2588.67,0
7.9,9.99906e+08,9.99985e+08,0,-13708,-3708.11,0
7.9,-9.99985e+08,9.99906e+08,0,3708.11,-13708,0
7.9,118500,1.99999e+09,0,14999.9,-2621.86,0
8,9.99905e+08,9.99985e+08,0,-13754.9,-3755.05,0
8,-9.99985e+08,9.99905e+08,0,3755.05,-13754.9,0
8,120000,1.99999e+09,0,14999.9,-2655.05,0
8.1,9.99903e+08,9.99984e+08,0,-13801.8,-3801.99,0
8.1,-9.99984e+08,9.99903e+08,0,3801.99,-13801.8,0
8.1,121500,1.99999e+09,0,14999.9,-2688.23,0
8.2,9.99902e+08,9.99984e+08,0,-13848.8,-3848.93,0
8.2,-9.99984e+08,9.99902e+08,0,3848.93,-13848.8,0
8.2,123000,1.99999e+09,0,14999.9,-2721.42,0
8.3,9.99901e+08,9.99984e+08,0,-13895.7,-3895.87,0
8.3,-9.99984e+08,9.99901e+08,0,3895.87,-13895.7,0
8.3,124500,1.99999e+09,0,14999.9,-2754.61,0
8.4,9.99899e+08,9.99983e+08,0,-13942.7,-3942.82,0
8.4,-9.99983e+08,9.99899e+08,0,3942.82,-13942.7,0
8.4,126000,1.99999e+09,0,14999.9,-2787.8,0
8.5,9.99898e+08,9.99983e+08,0,-13989.6,-3989.76,0
8.5,-9.99983e+08,9.99898e+08,0,3989.76,-13989.6,0
8.5,127500,1.99999e+09,0,14999.9,-2820.99,0
8.6,9.99896e+08,9.99982e+08,0,-14036.5,-4036.7,0
8.6,-9.99982e+08,9.99896e+08,0,4036.7,-14036.5,0
8.6,129000,1.99999e+09,0,14999.9,-2854.18,0
8.7,9.99895e+08,9.99982e+08,0,-14083.5,-4083.64,0
8.7,-9.99982e+08,9.99895e+08,0,4083.64,-14083.5,0
8.7,130500,1.99999e+09,0,14999.9,-2887.36,0
8.8,9.99894e+08,9.99982e+08,0,-14130.4,-4130.59,0
8.8,-9.99982e+08,9.99894e+08,0,4130.59,-14130.4,0
8.8,132000,1.99999e+09,0,14999.9,-2920.55,0
8.9,9.99892e+08,9.99981e+08,0,-14177.3,-4177.53,0
8.9,-9.99981e+08,9.99892e+08,0,4177.53,-14177.3,0
8.9,133500,1.99999e+09,0,14999.9,-2953.74,0
9,9.99891e+08,9.99981e+08,0,-14224.3,-4224.47,0
9,-9.99981e+08,9.99891e+08,0,4224.47,-14224.3,0
9,135000,1.99999e+09,0,14999.9,-2986.93,0
9.1,9.99889e+08,9.9998e+08,0,-14271.2,-4271.42,0
9.1,-9.9998e+08,9.99889e+08,0,4271.42,-14271.2,0
9.1,136500,1.99999e+09,0,14999.9,-3020.12,0
9.2,9.99888e+08,9.9998e+08,0,-14318.2,-4318.36,0
9.2,-9.9998e+08,9.99888e+08,0,4318.36,-14318.2,0
9.2,138000,1.99999e+09,0,14999.9,-3053.31,0
9.3,9.99886e+08,9.99979e+08,0,-14365.1,-4365.3,0
9.3,-9.99979e+08,9.99886e+08,0,4365.3,-14365.1,0
9.3,139500,1.99999e+09,0,14999.9,-3086.49,0
9.4,9.99885e+08,9.99979e+08,0,-14412,-4412.25,0
9.4,-9.99979e+08,9.99885e+08,0,4412.25,-14412,0
9.4,141000,1.99999e+09,0,14999.9,-3119.68,0
9.5,9.99884e+08,9.99979e+08,0,-14459,-4459.19,0
9.5,-9.99979e+08,9.99884e+08,0,4459.19,-14459,0
9.5,142500,1.99998e+09,0,14999.9,-3152.87,0
9.6,9.99882e+08,9.99978e+08,0,-14505.9,-4506.13,0
9.6,-9.99978e+08,9.99882e+08,0,4506.13,-14505.9,0
9.6,144000,1.99998e+09,0,14999.9,-3186.06,0
9.7,9.99881e+08,9.99978e+08,0,-14552.9,-4553.08,0
9.7,-9.99978e+08,9.99881e+08,0,4553.08,-14552.9,0
9.7,145500,1.99998e+09,0,14999.9,-3219.25,0
9.8,9.99879e+08,9.99977e+08,0,-14599.8,-4600.02,0
9.8,-9.99977e+08,9.99879e+08,0,4600.02,-14599.8,0
9.8,147000,1.99998e+09,0,14999.9,-3252.44,0
9.9,9.99878e+08,9.99977e+08,0,-14646.7,-4646.96,0
9.9,-9.99977e+08,9.99878e+08,0,4646.96,-14646.7,0
9.9,148500,1.99998e+09,0,14999.9,-3285.63,0
10,9.99876e+08,9.99976e+08,0,-14693.7,-4693.91,0
10,-9.99976e+08,9.99876e+08,0,4693.91,-14693.7,0
10,150000,1.99998e+09,0,14999.9,-3318.81,0
10.1,9.99875e+08,9.99976e+08,0,-14740.6,-4740.85,0
10.1,-9.99976e+08,9.99875e+08,0,4740.85,-14740.6,0
10.1,151500,1.99998e+09,0,14999.9,-3352,0
10.2,9.99873e+08,9.99975e+08,0,-14787.6,-4787.8,0
10.2,-9.99975e+08,9.99873e+08,0,4787.8,-14787.6,0
10.2,153000,1.99998e+09,0,14999.9,-3385.19,0
10.3,9.99872e+08,9.99975e+08,0,-14834.5,-4834.74,0
10.3,-9.99975e+08,9.99872e+08,0,4834.74,-14834.5,0
10.3,154500,1.99998e+09,0,14999.9,-3418.38,0
10.4,9.9987e+08,9.99974e+08,0,-14881.4,-4881.68,0
10.4,-9.99974e+08,9.9987e+08,0,4881.68,-14881.4,0
10.4,156000,1.99998e+09,0,14999.9,-3451.57,0
10.5,9.99869e+08,9.99974e+08,0,-14928.4,-4928.63,0
10.5,-9.99974e+08,9.99869e+08,0,4928.63,-14928.4,0
10.5,157500,1.99998e+09,0,14999.9,-3484.76,0
10.6,9.99867e+08,9.99973e+08,0,-14975.3,-4975.57,0
10.6,-9.99973e+08,9.99867e+08,0,4975.57,-14975.3,0
10.6,159000,1.99998e+09,0,14999.9,-3517.95,0
10.7,9.99866e+08,9.99973e+08,0,-15022.3,-5022.52,0
10.7,-9.99973e+08,9.99866e+08,0,5022.52,-15022.3,0
10.7,160499,1.99998e+09,0,14999.9,-3551.13,0
10.8,9.99864e+08,9.99972e+08,0,-15069.2,-5069.46,0
10.8,-9.99972e+08,9.99864e+08,0,5069.46,-15069.2,0
10.8,161999,1.99998e+09,0,14999.9,-3584.32,0
10.9,9.99863e+08,9.99972e+08,0,-15116.1,-5116.41,0
10.9,-9.99972e+08,9.99863e+08,0,5116.41,-15116.1,0
10.9,163499,1.99998e+09,0,14999.9,-3617.51,0
11,9.99861e+08,9.99971e+08,0,-15163.1,-5163.35,0
11,-9.99971e+08,9.99861e+08,0,5163.35,-15163.1,0
11,164999,1.99998e+09,0,14999.9,-3650.7,0
11.1,9.9986e+08,9.99971e+08,0,-15210,-5210.3,0
11.1,-9.99971e+08,9.9986e+08,0,5210.3,-15210,0
11.1,166499,1.99998e+09,0,14999.8,-3683.89,0
11.2,9.99858e+08,9.9997e+08,0,-15257,-5257.24,0
11.2,-9.9997e+08,9.99858e+08,0,5257.24,-15257,0
11.2,167999,1.99998e+09,0,14999.8,-3717.08,0
11.3,9.99857e+08,9.9997e+08,0,-15303.9,-5304.19,0
11.3,-9.9997e+08,9.99857e+08,0,5304.19,-15303.9,0
11.3,169499,1.99998e+09,0,14999.8,-3750.27,0
11.4,9.99855e+08,9.99969e+08,0,-15350.8,-5351.14,0
11.4,-9.99969e+08,9.99855e+08,0,5351.14,-15350.8,0
11.4,170999,1.99998e+09,0,14999.8,-3783.45,0
11.5,9.99854e+08,9.99969e+08,0,-15397.8,-5398.08,0
11.5,-9.99969e+08,9.99854e+08,0,5398.08,-15397.8,0
11.5,172499,1.99998e+09,0,14999.8,-3816.64,0
11.6,9.99852e+08,9.99968e+08,0,-15444.7,-5445.03,0
11.6,-9.99968e+08,9.99852e+08,0,5445.03,-15444.7,0
11.6,173999,1.99998e+09,0,14999.8,-3849.83,0
11.7,9.99851e+08,9.99968e+08,0,-15491.7,-5491.97,0
11.7,-9.99968e+08,9.99851e+08,0,5491.97,-15491.7,0
11.7,175499,1.99998e+09,0,14999.8,-3883.02,0
11.8,9.99849e+08,9.99967e+08,0,-15538.6,-5538.92,0
11.8,-9.99967e+08,9.99849e+08,0,5538.92,-15538.6,0
11.8,176999,1.99998e+09,0,14999.8,-3916.21,0
11.9,9.99847e+08,9.99966e+08,0,-15585.5,-5585.87,0
11.9,-9.99966e+08,9.99847e+08,0,5585.87,-15585.5,0
11.9,178499,1.99998e+09,0,14999.8,-3949.4,0
12,9.99846e+08,9.99966e+08,0,-15632.5,-5632.81,0
12,-9.99966e+08,9.99846e+08,0,5632.81,-15632.5,0
12,179999,1.99998e+09,0,14999.8,-3982.59,0
12.1,9.99844e+08,9.99965e+08,0,-15679.4,-5679.76,0
12.1,-9.99965e+08,9.99844e+08,0,5679.76,-15679.4,0
12.1,181499,1.99998e+09,0,14999.8,-4015.78,0
12.2,9.99843e+08,9.99965e+08,0,-15726.4,-5726.71,0
12.2,-9.99965e+08,9.99843e+08,0,5726.71,-15726.4,0
12.2,182999,1.99998e+09,0,14999.8,-4048.96,0
12.3,9.99841e+08,9.99964e+08,0,-15773.3,-5773.65,0
12.3,-9.99964e+08,9.99841e+08,0,5773.65,-15773.3,0
12.3,184499,1.99997e+09,0,14999.8,-4082.15,0
12.4,9.9984e+08,9.99964e+08,0,-15820.2,-5820.6,0
12.4,-9.99964e+08,9.9984e+08,0,5820.6,-15820.2,0
12.4,185999,1.99997e+09,0,14999.8,-4115.34,0
12.5,9.99838e+08,9.99963e+08,0,-15867.2,-5867.55,0
12.5,-9.99963e+08,9.99838e+08,0,5867.55,-15867.2,0
12.5,187499,1.99997e+09,0,14999.8,-4148.53,0
12.6,9.99836e+08,9.99962e+08,0,-15914.1,-5914.49,0
12.6,-9.99962e+08,9.99836e+08,0,5914.49,-15914.1,0
12.6,188999,1.99997e+09,0,14999.8,-4181.72,0
12.7,9.99835e+08,9.99962e+08,0,-15961.1,-5961.44,0
12.7,-9.99962e+08,9.99835e+08,0,5961.44,-15961.1,0
12.7,190499,1.99997e+09,0,14999.8,-4214.91,0
12.8,9.99833e+08,9.99961e+08,0,-16008,-6008.39,0
12.8,-9.99961e+08,9.99833e+08,0,6008.39,-16008,0
12.8,191999,1.99997e+09,0,14999.8,-4248.1,0
12.9,9.99832e+08,9.99961e+08,0,-16054.9,-6055.34,0
12.9,-9.99961e+08,9.99832e+08,0,6055.34,-16054.9,0
12.9,193499,1.99997e+09,0,14999.8,-4281.29,0
13,9.9983e+08,9.9996e+08,0,-16101.9,-6102.28,0
13,-9.9996e+08,9.9983e+08,0,6102.28,-16101.9,0
13,194999,1.99997e+09,0,14999.8,-4314.47,0
13.1,9.99828e+08,9.99959e+08,0,-16148.8,-6149.23,0
13.1,-9.99959e+08,9.99828e+08,0,6149.23,-16148.8,0
13.1,196499,1.99997e+09,0,14999.8,-4347.66,0
13.2,9.99827e+08,9.99959e+08,0,-16195.8,-6196.18,0
13.2,-9.99959e+08,9.99827e+08,0,6196.18,-16195.8,0
13.2,197999,1.99997e+09,0,14999.8,-4380.85,0
13.3,9.99825e+08,9.99958e+08,0,-16242.7,-6243.13,0
13.3,-9.99958e+08,9.99825e+08,0,6243.13,-16242.7,0
13.3,199499,1.99997e+09,0,14999.8,-4414.04,0
13.4,9.99824e+08,9.99958e+08,0,-16289.7,-6290.08,0
13.4,-9.99958e+08,9.99824e+08,0,6290.08,-16289.7,0
13.4,200999,1.99997e+09,0,14999.8,-4447.23,0
13.5,9.99822e+08,9.99957e+08,0,-16336.6,-6337.02,0
13.5,-9.99957e+08,9.99822e+08,0,6337.02,-16336.6,0
13.5,202499,1.99997e+09,0,14999.8,-4480.42,0
13.6,9.9982e+08,9.99956e+08,0,-16383.5,-6383.97,0
13.6,-9.99956e+08,9.9982e+08,0,6383.97,-16383.5,0
13.6,203999,1.99997e+09,0,14999.8,-4513.61,0
13.7,9.99819e+08,9.99956e+08,0,-16430.5,-6430.92,0
13.7,-9.99956e+08,9.99819e+08,0,6430.92,-16430.5,0
13.7,205499,1.99997e+09,0,14999.8,-4546.8,0
13.8,9.99817e+08,9.99955e+08,0,-16477.4,-6477.87,0
13.8,-9.99955e+08,9.99817e+08,0,6477.87,-16477.4,0
13.8,206999,1.99997e+09,0,14999.8,-4579.99,0
13.9,9.99815e+08,9.99954e+08,0,-16524.4,-6524.82,0
13.9,-9.99954e+08,9.99815e+08,0,6524.82,-16524.4,0
13.9,208499,1.99997e+09,0,14999.8,-4613.18,0
14,9.99814e+08,9.99954e+08,0,-16571.3,-6571.77,0
14,-9.99954e+08,9.99814e+08,0,6571.77,-16571.3,0
14,209999,1.99997e+09,0,14999.8,-4646.36,0
14.1,9.99812e+08,9.99953e+08,0,-16618.3,-6618.72,0
14.1,-9.99953e+08,9.99812e+08,0,6618.72,-16618.3,0
14.1,211499,1.99997e+09,0,14999.8,-4679.55,0
14.2,9.9981e+08,9.99952e+08,0,-16665.2,-6665.67,0
